"PLEASE DO NOT SORT THIS SPREADSHEET - IT SHOULD REMAIN SORTED BY HEX # (XXYY), STARTING WITH HEX 0101 AND ENDING WITH HEX 0606.",,,,,,,,,,
To see what your descriptions get turned into go here: http://save.vs.totalpartykill.ca/grab-bag/hexkit/,,,,,,,,,,
Description is the only field you need to fill out. Refer to other hexes by wrapping a feature in [[ ]] or another hex key — [[CASTLE BLACK]] or [[0402]],,,,,,,,,,
x,y,,HEX #,Terrain,Feature,,Author,Description,Social Media Link of Choice,Themes
01,01,,0101,Mountains,CAVES,,Ramanan Sivaranjan,"A tribe of savages make their home in a network of caves at the base of this mountain range. Their homes are littered with super-technogolgy far beyond their comprehension, which they use as crude tools and furniture.",,
01,01,,0101,Mountains,,,Ramanan Sivaranjan,"A small monastry sits on one of the craggy peaks of this mountain range. The monks within worhship an ancient computer, it's terminal blinking waiting for its next comand.",,
01,02,,0102,Swamp Forest,TUNNELS,,Cédric Plante,A hermit shaman collect broken technogical artifacts. He(she?) can talk to the machine spirits. Secret tunnels lead to 0101. ,,
01,03,,0103,Marsh,,,,,,
01,04,,0104,Marsh,MIRE MAN,,Jürgen Mayer,"The MIre Man lives here, a grotesque bloated hybrid of elf and ooze. He tried to destroy [[OOL-LENG]], failed, and paid a terrible price. He hates everything that has bones. His territory is marked by a countless number of strange sculptures made from the broken bones of creatures that crossed his path, from frogs to unwary travelers. ",http://deadcyclops.blogspot.com/2014/07/mire-man.html,
01,05,,0105,Shroom Forest,OOL-LENG,,Jürgen Mayer,"FALSE PYRAMID OF OOL-LENG. Ool-leng is an immobile, giant, pyramid-shaped, intelligent, philosophical ooze. It longs for information about obscure subjects and rewards entities that fulfill quests on its behalf with parts of its own substance, which has various magical properties.",,
01,06,,0106,Shroom Forest,POOL OF DREAM OOZE,,Cédric Plante,Some shrooms are absorbing the spores of [[OOL-LENG]] and are growing in pyramidal grooves. This forest is a melting pot of weirdly shaped slimes and shrooms. Some native hunters know their way around the place. A trail lead to a pool of dreaming ooze. ,,
02,01,,0201,Mountains,DEAD ROC,,"Jeremy ""frothsof"" Smith","Roc corpse. Upon inspection, 2d8 bloated spiders burst from its breast. Partially digested gnome in stomach wears ring of x-ray vision.",,
02,02,,0202,Swamp Forest,,,,,,
02,03,,0203,village,VESPID,,Zedeck Siew,"VESPID. A rock outcrop rises from the surrounding mire. Lodged in its fissures: the bulb-like cement apartments of the wasp-women. A hospitable community, led by an iridescent priestess. Communal creche filled with captive humanoids - paralysed, implanted with larvae.",,
02,04,,0204,Marsh,SLUG WALLOW,,Wayne Snyder,Slug Wallow. A shallow basin 100' across and filled with stagnant slime and massive bloated slugs 10-12' in length which gorge on the fetid marsh weeds.,,
02,05,,0205,Swamp Forest,,,Ramanan Sivaranjan,"Sarria, a wasp-women from [[VESPID]], is searching the mushroom forest for a rare fungus to cure her ailling child. She will gladly accept the aid of any friendly adventurers. Any assistence provided will raise the party's standing in the village.",,
02,06,,0206,Swamp Forest,SYNDER'S OUTPOST,,Jürgen Mayer,"Vaine Synder is a hermit trapper that has built a small permanent outpost on a dry patch of the land, consisting of a couple of log cabins, a well and a field of marsh pumpkins. He is not interested in money, but will gladly trade accomodation for goods, equipment or a helping hand. He is knowlegable about all surrounding hexes, and gives information freely. There's a 1 in 6 chance that 1d3 hunters are currently staying in the outpost.",,
03,01,,0301,Mountains,FAITHLESS TWINS,,Brandon Daggerhart,"Two small jagged peaks in the range - the westernmost peak has carved in its east-facing side a bas-relief style effigy of the Torn God, carved ages ago by unknown hands.  Around its face are hundreds of unexplored caves speckled across the mountainside.  The easternmost peak is spiraled by miles of rough-hewn steps in the stone of the mountain, which lead to an overlook from which to view the Torn God.  Over the centuries, hundreds of people have leapt to their death from the overlook.",,
03,02,,0302,"Bogs, marshes, and swamps above; underground complex below",TRAGEDY TOWER/CATHEDRAL OF SUNKEN DREAMS,,Chris P.,"TRAGEDY TOWER: At first glance, this eerie, forsaken tower seems to be the remnant of a long-dead wizard empire. In fact, the wizard empire never existed. This ""tower"" is merely the steeple for the CATHEDRAL OF SUNKEN DREAMS, a much grander structure that sank into the bloody bogs eons ago. The FUNGAL MUMMIES of the dead churchmen do their best to conceal the Cathedral's true nature.",,
03,03,,0303,Marsh,The Willows' Coven,,Chris P.,"What appears to be a mere grove of weeping willows is actually the home of a coven of dryad swamp witches and the treants they are bonded to. Although plants, the treants weep tears of cursed blood.",,
03,04,,0304,Tar Volcano,TAR SLOPE MOUNTAIN,,Michael Prescott,"A trio of tar men have swum up from the depths of the crater of bubbling tar, seeking curse removal from a surface cleric. In an attempt to communicate, they have crafted four semi-sentient flesh golems from animals caught in the adjacent forest.",,
03,05,,0305,Swamp Forest,TAR FOREST,,Chris P.,"Discharges from the [[TAR SLOPE MOUNTAIN]] periodically spill down into this TAR FOREST and bury anything inside. Although creatures brachiate through the tar-covered willows above, passage aboard a vessel of the pale, bug-eyed Tar Gnomes allows the safest means of egress through much of the hex. Those who sink into the tarry swamp below are said to never come out alive, a fact many an evildoer have taken advantage of.",,
03,06,,0306,Swamp Forest,MANGROVE MAZE,,Zedeck Siew,"Stubby trees atop arcing roots. These quickly grow thick; to walk between them is to lose sight of sun. The northernmost reach of the MANGROVE MAZE. Teeming with poison tree crabs, carnivorous swarm-fish. Tended to by a salt-golem gardeners, enacting a patient conquest of freshwater marshes.",,
04,01,,0401,Mountain,BEHEMOTH'S MAW,,Chris P.,"BEHEMOTH'S MAW Ages ago, this now-dormant volcano belched forth flows of lava that engulfed all the life nearby. However, yesterday's annhilation made the surrounding environs fertile for the fecud (if usually malformed) life that dominates the land today. Today, Behemoth's Maw only spews bands of exiled monsters from below, always warning their coming with the release of toxic miasmas.",,
04,02,,0402,Swamp Forest,,,,,,
04,03,,0403,Marsh,,,Reece Carter,"Shallow water changing in depth from just over the foot to slightly more then ankle deep, softly bubbles. Mosquitoes buzz around and bite the PCs as they move through the area. A soft rotten egg smell permeates though the area but it's not so overpowering as to be a distraction. As the player walk through the area roll 1d6: if the number is equal to or less then the number of players 1d2 of them have stepped into the bog. These players begin to slowly sink and are treated as though grappled. A strength check (roll under half strength score) is required for the player to get out. Other players can aid this but you can decide how that will work.",,
04,04,,0404,swamp Forest,,,Jennifer Erixon,"Wild Arachnaurochs Herd. Ancient cousins of the silk producing Holstein Spidercattle, these vicious creatures roam about the forest preying upon unsuspecting herbivores. Their eggs are a prized delicacy, and their nests tend to have the belongings of lost travelers. ",,
04,05,,0405,Swamp Forest,Holstein Pod Ruins,,Cédric Plante ,"Ruins of a Holstein automated spidercattle farm pod, contain ancient skeletons covered in calcified webs. Local mudwalker avoid the place ",,
04,06,,0406,Marsh,,,,,,
05,01,,0501,Mountain,,,Wayne Rossi,"The mountain is naturally the source of an extremely rare fungus that is highly valued by wizards and alchemists as an ingredient in potions. However, the fungus is tended by a colony of giant ants (roughly the size of dogs), which will fiercely defend it if provoked. Warrior ants have a bonus to ambush anyone disturbing the fungus.",,
05,02,,0502,Shroom Forest,SPORE FOREST,,Joel Bethell,A particularly dangerous part of the fungal forests: here it snows deadly spores that infest living creatures with mind-controlling cordiceps. The tops of the shrooms are decorated with the hollowed out corpses of giant ants who had fallen victim to them; from their heads grow valuable fungal branches.,,
05,03,,0503,Swamp Forest,,,,,,
05,04,,0504,Swamp Forest,,,,,,
05,05,,0505,Swamp Forest,WEEPING FOREST,,Gus L. ,"Limp leaves and hanging branches give the impression of a forest on the verge of collapse and the constant drip of water from above creates the sense the that the plants are themselves weeping.  The Shroom forest to the East is slowly expanding here, and fungus carpets the undergrowth.",,
05,06,,0506, ,MONOLITHIC SHRINE OF MEGOL,,Jürgen Mayer,"MONOLITHIC SHRINE OF MEGOL, master of automatons.",,
06,01,,0601,Mountain,BLADEWIND PEAKS,,Jürgen Mayer,"Caves under the mountain, made by the worm god Quoolak. A clan of reclusive, worm-worshipping dwarves dwells there. It is devided into two warring factions, the stone-born who live in the caves and the womb-born who live in the carcass of the worm god. Both have gone insane over the centuries and their numbers are dwindling. A wizard king has promised eternal gratitude and unknown riches for those who can steal and bring him the worm god's heart. ",,
06,02,,0602,Shroom Forest,"HEART OF THE SHROOM-FOREST
",,Jürgen Mayer,"HEART OF THE SHROOM-FOREST The shroom dryads have captured the sorcerer Parnea [[0604]] and drain the energy from his lichen-cocooned body to feed the forest's psycho-hallucigenic veil. After three decades of imprisonment, Parnea has learned to manipulate the veil enough to send out telepathic messages and weaken the bonds of his prison. The dryads are alarmed and might seek outside assistance to contain the sorcerer. Parnea seeks allies of his own to help him escape.",,
06,03,,0603,Shroom Forest,,,Cédric Plante,"Walking Spore Forest. Quiet except for the multiple mushrooms clones of a lost adventurer, walking around looking for traps and secret stuff. His or her original body holds something precious in his or her arms. ",,
06,04,,0604,,THE OLD GARDEN,,Wayne Synder,THE OLD GARDEN AKA the Death Garden of Parnea. A ruined manse situated in a malevolent sorcerer's garden grown wild with years of neglect. ,,
06,05,,0605,swamp forest ,,,Ramanan Sivaranjan,A group of broken adventures have recently fled the [[MONOLITHIC SHRINE OF MEGOL]]. They lament the treasures they were foced to leave behind. They can provide players with a partial map of the shrine for a small price.,,
06,06,,0606,swamp forest ,AUTOMATON JUNKYARD,,Cédric Plante,"Rusted forest of lost automatons. Willows trees grow over the metal husks, their dryads cry for the broken and discarded automatons. One automaton contain a moss covered prime spark core. The prime spark is damaged. ",,