X_index,Y_index,,Hex Key,Terrain,Feature,,Author,Description,URL,"Themes (eg ""Alienation"", ""Hope"", or ""Coming of age"".)"
11,10,,1110,Broken Lands,,,,A passage through the rocky hills lies here. A sonic spider lies in hiding and attacks weak parties by geosonic location. It is driven away by loud music.,,
11,11,,1111,Broken Lands,,,,,,
11,12,,1112,Sandy Desert,Ancient Lab,,The_VolV,"This place looks mostly empty, but in the bowels of the earth resides an ancient lab created only to make bioweapons. One has been sleeping for centuries, the Teletransmitted Mutant Neuroactive Tyrannosaurus (or TMNT for short).",https://i.ytimg.com/vi/b2q6ZZUToZc/hqdefault.jpg,Unethical uses science from the past.
11,13,,1113,Rocky Hills,,,tipsta,"This vast field of lava sometimes cools, especially after a storm. [[Lava-immune Elves]] sometimes race across the solid lava to pick rare berries that don't grow anywhere else.",,
11,14,,1114,Rocky Hills,Lava-immune Elves,,tipsta,Small stone shack near edge of Lava Fields in 1013. Dozen Lava-immune Elves attempt to grow in population.,,
11,15,,1115,Sandy Desert,Octown,,KusoDM,Town run and populated by human-octopus hybrids called octomen that have bred in secret and made their way to the mainland. They are bad at agriculture. They come from the [[Abyssia]].,http://tfwiki.net/mediawiki/images2/f/f8/G1Octopunch_toy.jpg,"Secret terror, alien technology, underwater adventure"
11,16,,1116,Rocky Hills,,,,,,
11,17,,1117,Mountain,,,Stagehand,Pterosaurs nest among the mountain cliffs collecting gems and bright baubles. 30% of the adults are fitted with a metal collar etched with runes in a long-dead language; deciphering the runes indicates the coordinates of the [[Ancient Lab]].,,Aerial danger
11,18,,1118,Rocky Hills,,,,,,
11,19,,1119,"Sandy Desert, Shrubland",,,,,,
11,20,,1120,Rocky Hills,,,tipsta,An overgrown greenhouse is tucked away in these hills.,,
12,01,,1201,Sandy Desert,,,,,,
12,02,,1202,Sandy Desert,Newton,,The_VolV,"Descendants of ancient Magineers and Elves from the old era have a settlement here. Some of their ancient knowledge is intact. They are in constant threat of the Goblins in [[Laser Book]] Tower, who attack them for gold, food, and science (kidnappings).",,Hope
12,03,,1203,Rocky Hills,,,,Merchant caravans move through here to reach [[Newton]].,,
12,04,,1204,Rocky Hills,,,PastamanXIV,"Merchant caravans traveling to [[Newton]]. Rumor is travelers fall prey to the undead. In fact, they are haywire automatons that rest in the day to gain power from the sun.",,"Enterprise, commerce, mummies"
12,05,,1205,Mountain,The Cider Press,,PastamanXIV,Tavern made of the wreckage of a ship that sailed the stars called The Cider Press. Ran by its old captain and his illusory wife. They tell of a shooting star that crashed in [[1305]]. Caravans from [[Newton]] stop here on their way to [[Hidden Village]].,,
12,06,,1206,Mountain,,,,"On some nights, sharp green rays fire into the sky for short bursts between these mountains. An automated system for a mostly underground communications post scans for satellites. Satellite maps and other information can be found here.",,Ad Astra
12,07,,1207,Mountain,,,,Great tentacled eagles inhabit a cave system.,,
12,08,,1208,Broken Lands,,,agent blue,Under a fungus-shaped rock is the lair of a creature that seems to be made entirely of human hands. Cut off one of its hands and two will grow in its place. It will never take hostile action. Probably a good source of emergency rations.,,Science
12,09,,1209,Sandy Desert,,,The_VolV,"A hidden vault, it has hidden collectibles, like 100 bottle caps, different types of bottles, some posters, some comic books.",,Blast from the past
12,10,,1210,Sandy Desert,Yormite Teleporter North,,EsotericOdyssey,"At night, a [[Yormite]] spire rises from the sand. When a Yormite Difference-Gauntlet touches the spire, they (and anything touching them) are teleported to the identical [[Yormite Teleporter South]].",,
12,11,,1211,Sandy Desert,,,,,,
12,12,,1212,Rocky Hills,Yormite Camp,,PastamanXIV,At any time d4 [[Yormite]] slavers and 2d6 Yormite Automata may be observed here. There will be numerous cages and captives here as they prepare to travel back home.,,
12,13,,1213,Rocky Hills,,,,,,
12,14,,1214,Sandy Desert,,,tipsta,Silane Serpent territory (as bulette made of glass). Known problem for the folks of [[Octown]].,,
12,15,,1215,Sandy Desert,,,,,,
12,16,,1216,Rocky Hills,,,,A drone from the [[Mind of Machine]] can be seen hovering far in the sky. After d6 hours it returns home.,,
12,17,,1217,Rocky Hills,,,PastamanXIV,Merchant caravans come through here to (attempt to) trade with the talking animals of [[1218]] and [[1219]].,,
12,18,,1218,"Sandy Desert, Shrubland",,,The_VolV,Talking reptiles and mammals are here. Most of them are territorial.,,
12,19,,1219,"Sandy Desert, Shrubland",,,The_VolV,"Talking snakes inhabit this area. They have guns, and have ways to shoot them.",,
12,20,,1220,Rocky Hills,,,,,,
13,01,,1301,Sandy Desert,,,,,,
13,02,,1302,Rocky Hills,,,Ellardin,Blue flowers with star shaped tops grow here. They turn black at night.,,
13,03,,1303,Rocky Hills,,,Stagehand + DishwasherPossum,"Two vampire [[Countachs of Lambo]] (holding parasols during the day) dispute the particulars of a crash. Their smoking, burnt-out demon stagecoaches are nearby, and they will rope the PCs into their arguments.",,Mad max raiders meet extremely decadent renaissance nobility
13,04,,1304,Rocky Hills,,,,,,
13,05,,1305,Mountain,S3: Expedition to the Barrier Peaks,,Stagehand,"Jutting out just past a mountain summit is a dull, dust-coloured slab. Climbing up the mountain will reveal a vast structure of twisted and bent metal, which contains S3: Expedition to the Barrier Peaks.",https://en.wikipedia.org/wiki/Expedition_to_the_Barrier_Peaks,Close Encounters of the Third Kind
13,06,,1306,Sandy Desert,Hidden Village,,,"The people of this ""hidden"" village dress in extremely bright colours and are terrible at hiding. Rumours say they have powers beyond comprehension invoked by strange hand symbols (this is a lie).",,"Different cultures, Annoying"
13,07,,1307,Sandy Desert,Crashed Flying Saucer,,PastamanXIV,"A crashed ship that once sailed the stars, in the shape of a saucer is hidden beneath the sands. Grey aliens with advanced technology lie dead inside as their automatons guard the wreckage.",,
13,08,,1308,Mountain,,,,Hidden overgrown trail leading through a mountain pass. Guarded by the inhabitants of [[Hidden Village]].,,
13,09,,1309,Rocky Hills,Neanderthal Lair,,PastamanXIV,"Neanderthals live here and have made an agreement with the [[Yormite]], they give captives in exchange for alien goods. 2d4 Yormites and 4d4 Yormite Automatons may be observed here at any time.",,
13,10,,1310,Rocky Hills,,,EsotericOdyssey,A [[Yormite]] and d6 Yormite Automatons lead a caravan of alien technology to the [[Neanderthal Lair]]. The Yormites will threaten PCs who approach too closely with a strange weapon., ,
13,11,,1311,Sandy Desert,,,EsotericOdyssey,A Yormite and d6 Yormite Automatons lead a caravan of slaves back to the [[Yormite]] city. They will make threatening gestures with a strange weapon at PCs who approach too closely.,,
13,12,,1312,"Rocky Hills, Coast",Floating Village,,,Scavengers prepare to row out to loot the [[Old Era Seacraft]]. A small harbour has developed by the coast where scavengers from afar have anchored their houseboat. Strangers are welcome to trade on the floating village.,,
13,13,,1313,"Sandy Desert, Coast",,,,"A confused person is standing near a glassed crater in strange armor, with a glass helm that is shaped like a bubble. Carrying a wand of disintegration with a trigger system similar to a crossbow. They speak a strange, accented, guttural language.  ",,
13,14,,1314,"Sandy Desert, Coast",,,,,,
13,15,,1315,"Sandy Desert, Coast",,,,2d6 messages in a bottles appear on this stretch of coast.,,
13,16,,1316,Sandy Desert,,,,,,
13,17,,1317,Rocky Hills,,,,,,
13,18,,1318,"Sandy Desert, Shrubland",,,tipsta,The coyotes in this area have the ability to talk.,,
13,19,,1319,"Sandy Desert, Oasis",Masketta Men Base,,Rosen,"An outpost owned and controlled by [[Masketta]] Man soldiers. Plethora of traders, craftsmen, etc, who pay a fee to the Masketta Men in exchange to stay near the oasis. Some are working off debts that increase at a rate unrepayable.",,"Slavery, Conflict, Civilisation"
13,20,,1320,Sandy Desert,,,,,,
14,01,,1401,Rocky Hills,,,,,,
14,02,,1402,Rocky Hills,,,,,,
14,03,,1403,Mountain,,,,Tribal elves with three working high tech crossbows of the old era and a sturdy metal cart of the old era are hunting a stegosaurus. They intend to sell the sell their catch in [[Newton]] or the folk of [[Laser Book]] tower and will trade meat for any additional transportation.,,
14,04,,1404,Mountain,,,,Vibrations as a mining automaton. Drills out tunnels below. Chance to undermine area in travellers' path.,,
14,05,,1405,Sandy Desert,,,,,,
14,06,,1406,"Sandy Desert, Lake",,,tipsta,This lake always seems to have large schools of edible fish.,,
14,07,,1407,Sandy Desert,,,tipsta,Cave formation called The Hourglass,https://i.imgur.com/UNY8vjX.png,
14,08,,1408,Mountain,,,,,,
14,09,,1409,Rocky Hills,,,,,,
14,10,,1410,Rocky Hills,Yormite,,EsotericOdyssey,"City with spires of metal and domes of glass grown organically into alien shapes, signifying the domain of The Yormites, enigmatic, hostile robed beings. Captives/purchased slaves go into the domes, but only more robed Yormites are seen exiting.",,Alien Horror
14,11,,1411,"Rocky Hills, Coast",,,,,,
14,12,,1412,Sea,Old Era Seacraft,,,Wrecked metallic hulk of an old era seacraft. Scavengers from the [[Floating Camp]] has started to exploit the surface.,,
14,13,,1413,Sea,,,,,,
14,14,,1414,Sea,,,,,,
14,15,,1415,"Sandy Desert, Coast",,,The_Volv,An old unmanned resort in disarray.,,
14,16,,1416,"Rocky Hills, Coast",,,twocalf,Massive nuclear sub beached on the sands here. The inhabitants believe (due to damaged controls) that everything outside the sub is underwater and cannot be told otherwise.  Offer old era tech for fetch quests.,,
14,17,,1417,Rocky Hills,,,,,,
14,18,,1418,Sandy Desert,,,,Level 3 dwarf on a rumbling old era mount of metal spins circles here. The large dust cloud is visible at a long distance.,,
14,19,,1419,Sandy Desert,,,,,,
14,20,,1420,Sandy Desert,,,NovanIV,This area and [[0217]] are the exact same place. There is a 50% chance that anyone traveling through these hexes come out the equivalent boarder on the other part of the map.,,Weird 
15,01,,1501,Rocky Hills,,,,"Entombed under earth and sand is the inactive Knight Eternal. It hates and fears the [[Mind of Machine]]. Travellers receive telepathic impulses promising riches and glory for unearthing it, and the coordinates to do so.",,
15,02,,1502,Rocky Hills,,,,,,
15,03,,1503,Rocky Hills,,,,,,
15,04,,1504,Volcano,Pit of Harkann,,anon who is gonzo,"Atop the Pit of Harkann lies a jagged, wheeled metal structure. Lightning sparks along vast cables leading from the apparatus into the [[Inverted Library Tower]]. A rope bridge offers entry into the structure, guarded by 6 Copper Warriors.",,
15,05,,1505,Mountain,,,,,,
15,06,,1506,Sandy Desert,,,,"Dungeon location. This place is known to the people of [[Hidden Village]], but is a great taboo.",,
15,07,,1507,Mountain,,,PastamanXIV,"Harpies will attack people who travel through this and the surrounding area, especially at [[1606]].",,
15,08,,1508,Mountain,,,twocalf,Eight legged spider goats roam this rocky mountain. Their horns are believed to be a powerful aphrodisiac (100gp per horn). ,,
15,09,,1509,Rocky Hills,,,,,,
15,10,,1510,"Sandy Desert, Coast",,,,A whale-like amphibian lairs in the desert. It hunts the sea at night and returns in the early hours.,,
15,11,,1511,"Rocky Hills, Coast",,,,,,
15,12,,1512,Sea,,,,"A giant gas pocket empties, bursting up in a splash.",,
15,13,,1513,Sea,,,twocalf,A mermaid skeleton lies in a sea cave surrounded by junk.  2d100gp worth of silverware.,,Part of Your World
15,14,,1514,"Rocky Hills, Coast",,,The_VolV,"A automaton lives in a lighthouse, and keeps it working. That is its purpose. It is depressed.",,Melancholy
15,15,,1515,Sea,,,,"Crabs parroting travellers back swim below the surface, trying to lure people to dive and investigate.",,Under the Sea
15,16,,1516,Sea,,,,,,
15,17,,1517,"Rocky Hills, Coast",,,,,,
15,18,,1518,Rocky Desert,,,,Many burrows of laser scorpions litter this area.,,
15,19,,1519,Rocky Desert,,,,,,
15,20,,1520,Sandy Desert,,,,,,
16,01,,1601,Rocky Hills,,,,,,
16,02,,1602,Rocky Hills,Laser Books,,anon who is gonzo,"A monolithic tower holding rare arcane tools of mass destruction: Laser Books. The goblin tribe Krakka Hadin-Akul-Jakar-Haran-el-Derif, ran by the Lord of the Tower, constantly raid the lands nearby. They are preparing an assault on the settlement in 1202 using arcane technology.",,
16,03,,1603,Rocky Hills,,,,,,
16,04,,1604,Mountain,Small Foot,,The_VolV,"A small village of halflings live here, they are a bit more civilized than their [[Cannibal Halflings]] cousins. They sometimes steal orphans thinking they are halflings. They pray to a giant sentient rock, but they don't let the unworthy speak with it.",,Post apoc legend of Zelda
16,05,,1605,Mountain,,,,,,
16,06,,1606,Mountain,,,Historian,"A narrow mountain pass here connects [[1506]] and [[1707]]. A statue at the midpoint that was once roughly 15' tall has partially collapsed. The damaged base reads: ""Let no mo-nt-in se--- my p--pl-""",,Togetherness
16,07,,1607,Rocky Hills,,,,,,
16,08,,1608,Rocky Hills,,,,,,
16,09,,1609,Sandy Desert,,,Ellardin,A large black monolith that appears to be made of solidified ice that never melts due to the sun's heat has an ever-shifting shadow moving around it that prevents the heat from touching any and all who shelter here.,,
16,10,,1610,"Rocky Hills, Coast",,,,,,
16,11,,1611,Sea,Offshore Rig,,PastamanXIV,An offshore deep sea mining facility. Occupied by the [[Yormites]. d3 Yormites and 3d8 Automatons will be present at any time.,,
16,12,,1612,Sea,,,,,,
16,13,,1613,"Rocky Hills, Coast",The Prophet,,,"Tomb of The Prophet. Many sites in the Scorched coast are dedicated to it. When they are visited they often reveal details about the visitors themselves, often some sort of secret.",,
16,14,,1614,"Rocky Hills, Coast",,,,"Bushes between rocks whisper secrets to travellers that sleep here, but also store their secrets to whisper to others.",,
16,15,,1615,Sea,,,,,,
16,16,,1616,Sea,,,,,,
16,17,,1617,"Rocky Hills, Coast",,,,Supercooled oceanic turtles lay their eggs here. The eggs are buried but can be sensed as cold spots on the beach above. An egg can be used as a cold damage explosive or to raise a frost turtle.,,
16,18,,1618,Rocky Desert,,,,,,
16,19,,1619,"Rocky Desert, Highway",,,,A long disabled yellow metal carriage of the old era with 23 level 0 passengers and guards and one low-level ranger/driver shooting back at the besieging giant ants.,,
16,20,,1620,Sandy Desert,,,,,,
17,01,,1701,"Rocky Hills, Coast",Skullton,,PastamanXIV,"A town of skeletons, created by the Lord of [[Laser Book]] tower, harvests agave plants and supplies the Lord with liquor. They rarely have to work due to the nature of their crop and their lack of need for food or drink.",,
17,02,,1702,"Rocky Hills, Coast",Lobster-people Festival Grounds,,tipsta,Every full moon the lobster-people (as fighter 4 w/ extra grab attack) hold their wrestling festival. Losers are purged - boiled alive.,https://i.imgur.com/upD5N1J.jpg,
17,03,,1703,Rocky Hills,Neanderthal Huts,,,[[Laser Books]] on the prowl. Neanderthals believe them to be angry spirits so they flee from their attacks and try to appease what to them.,,
17,04,,1704,Rocky Hills,,,,"Dwarfs race each other atop rumbling metal mounts, taking jumps over rock formations. Challenges travellers to contests if they can place a bet.",,
17,05,,1705,Rocky Hills,,,,,,
17,06,,1706,Rocky Hills,,,,"Mud hut with a painted sign. ""All beware, the PAINOLIZER lives here!"" Home of a medium-level magic elf.",,
17,07,,1707,Rocky Hills,,,,Aggressive herbivores chase fleeing plant-men.,,
17,08,,1708,"Sandy Desert, Coast",,,,"Sunbathing dwarfs and goblins with rumbling metal mounts on leave from the tower of [[Laser Books]]. Groups mingle, only small skirmishes over towels.",,
17,09,,1709,"Sandy Desert, Coast",,,,,,
17,10,,1710,"Sandy Desert, Coast",,,Pastaman,"Old lighthouse towards the sea. Operated by a brain in a jar that seeks a mechanical body. The brain will also give rewards for information about the current day, since it has been confined for so long, especially the creatures it sees in [[1908]].",,
17,11,,1711,Sea,,,,,,
17,12,,1712,Sea,,,NovanIV ,"An old hermit lives alone on an a ship that is almost as old as him. He will happily share his catch of the day in exchange for stories of adventure. His fishing pole is well cared for and of high quality, he has nothing else of value.",,peace and quiet 
17,13,,1713,"Rocky Hills, Coast",,,PastamanXIV,A rare breed of bird with exceptionally bright and colorful feathers roosts here during the winter months. The feathers are worth a great deal to the right buyer. The birds fight as HD 3 creatures with AC as Leather and Shield.,,
17,14,,1714,Mountain,,,PastamanXIV,"A creature with, a thick, slimy shell, and two eyes. [MV 0', AC Plate+Shield, HD 99, -10 Penalty on attacks against it.] It makes sounds of utter pain and misery that are heard across the whole island, but it has no mouth. Grants a wish if killed.",,"I Have No Mouth, And I Must Scream."
17,15,,1715,"Rocky Hills, Coast",,,,The wise Metaslug meditates on one rock. Travellers can ask it one question before asked to leave it in peace. It will fend off aggressors with powerful but non-violent psionic abilities.,,
17,16,,1716,Sea,,,twocalf,Kelp forest. Hidden within the forest is a very rare kind of starfish. Eating a soup made with one of its arms will restore any lost limb. Koa-Toa hold this starfish as being extremely sacred.,,
17,17,,1717,Sea,,,,,,
17,18,,1718,"Sandy Desert, Coast",,,,"Mutant halflings pull a cart along the shore, gathering up and trash from the sea.",,
17,19,,1719,Sandy Desert,,,Ellardin,This is the site of a large garbage dump.,,
17,20,,1720,Rocky Desert,,,,,,
18,01,,1801,Sea,,,,Raft stuck in seaweed. Abandoned. One locked coffin bolted to the raft containing a potion of radiation resistance.,,
18,02,,1802,"Rocky Hills, Coast",,,,"Shrine of the Prophet. Piled to face the sea are an array of rock formation. When viewed from a point out past the shore, the optical illusion of the mocking face of a false, powerful ally of the PCs stares back.",,
18,03,,1803,"Rocky Hills, Coast",,,Ellardin,A line of standing stones that have strange markings placed upon them. No one in The Scorched Coast has knowledge of the symbols.,,
18,04,,1804,"Sandy Desert, Coast",Elven Fake Town,,,"Elves enacting fake town life as travellers appear, among clearly fake house fronts sets. Has no idea what elf culture is like, and will agree to anything not self-destructive that travellers say.",,
18,05,,1805,Sandy Desert,,,,,,
18,06,,1806,Sandy Desert,Yanti,,tipsta,"This once-small camp site has accidentally become permanent. Everyone has their own reason for staying, but none of them are happy about it. ",,
18,07,,1807,"Sandy Desert, Coast",,,,,,
18,08,,1808,Sea,,,,Galley of the [[Masketta]] Men. Collects tribute from coastal settlements.,,
18,09,,1809,Sea,,,twocalf,"3d6 psi-porpoises, they plan to create a bubble of water and move off world.",,
18,10,,1810,Sea,,,,,,
18,11,,1811,Sea,,,twocalf,A mimic pretending to be a rowboat with a sailor and chest of treasure.,,
18,12,,1812,Sea,,,,"The waters here are extremely still and free from threats, but are deep and pitch black. Staying in this area for eight hours without leaving will progressively give PCs a severe headache, increasing in intensity the longer the PCs stay.",,"Safe, Eldritch"
18,13,,1813,"Rocky Hills, Coast",,,,"Concrete emplacements for old era cannons rest here, pointed out towards the sea. The naval guns are rusted metal junk but a hive of giant scorpions live in the unlooted supply room.",,
18,14,,1814,"Rocky Hills, Coast",,,agent blue,"Hulking structures made up of loops and circuits of painted steel tower over natural rock formations. Between them are ruins of buildings in a vast array of architectural styles. Some nights, strange music seems to spring from the ground itself.",http://www.chipandco.com/wp-content/uploads/2013/08/Mickey_Logo-1.png,Abandoned but not forgotten
18,15,,1815,Sea,,,agent blue,"The sunken portions of structures from [[1814]], stripped and scavenged for parts by the octomen of [[Abyssia]]. The home of a lone, paranoid, water-breathing alien with a strange gun.",,"Isolation, alien technology"
18,16,,1816,Sea,Abyssia,,Della,"An night, the strait glows green and sailors above are dragged into the depths. The oceanic bottom holds the underwater fortress city Abyssia, home of the octomen. They worship an eldritch god and protect their ancient treasure, The Pearl of Eternity, with advanced weapons.",,Cthulhu Lovecraft
18,17,,1817,"Sandy Desert, Coast",,,The_VolV,A small band of bat-people hide and prepare a revolution against the [[Masketta]] Man.,,Revolution
18,18,,1818,Sandy Desert,Masketta,,The_VolV,"The large city of Kallitin is the operated by the Masketta Man, a warrior with a thirst for conquest. He is said to follow a higher order but few believe that. People only started to care when he put on the mask.",,Conflict
18,19,,1819,"Sandy Desert, Coast",,,Teh_Az,"A beached sea turtle beach so large is breaks the horizon at a distance, mounted with six naval cannons. I has a symbiotic relationship with a town inside. Town establishing trade link with settlement in [[Masketta]] Man's city.",,"Trade, Nomadic City"
18,20,,1820,"Sandy Desert, Coast",,,Historian,"An iron tube rises from the sand, four feet in diameter. Rungs serve as a ladder, and the top is sealed with a sturdy hatch and a malfunctioning biometric scanner. Inside is an underground facility full of marine biology research materials.",,Ancient Science
19,01,,1901,Sea,,,,,,
19,02,,1902,"Sandy Desert, Coast",,,,Patrol of bears from the [[Iceberg Ship]]. Angry elves are throwing fruit at them and try to goad them inland.,,
19,03,,1903,Sea,Floating Camp,,Della,"A black oil slick locked in place by dominant currents. A metal platform ruined by rust sits in the middle of the oil, surrounded by rickety boats tied together in a semi-permanent community of 50ish oil gatherers. ",,Precarious life
19,04,,1904,"Sandy Desert, Coast",,,,,,
19,05,,1905,"Sandy Desert, Coast",Poorly Disguised Gnomes,,,Gnomes poorly disguised as dwarfs beg travellers for alcohol.,,Thieving Goddamn Gnomes
19,06,,1906,"Sandy Desert, Coast",,,Dish,"A fisherdwarf's shack. The fisherdwarf warns of thieving [[Poorly Disguised Gnomes]], gruffly.",,Thieving Goddamn Gnomes
19,07,,1907,"Sandy Desert, Coast",,,,"6 dwarfs blast past the coast in a racing boat, dragging behind a skipping bathtub with a screaming goblin. The dwarfs take badly aimed potshots at travellers as they make the pass.",,
19,08,,1908,"Sandy Desert, Coast",,,The_VolV,"Long forgotten and ransacked building. Most of the times it's empty, but at night some people have said to see humanoids in strange suits coming out of the water. This is the strange bulky creatures from the underwater ruins in the [[Whirlpool]].",,
19,09,,1909,Sea,,,,,,
19,10,,1910,"Sea, Whirlpool",Whirlpool,,NovanIV ,"An ever spinning whirlpool, at the bottom is portal slowly draining the sea in an ancient high tech ruin that is mostly flooded. Strange bulky creatures are seen coming and going from the intact areas.",,Gonzo undersea adventures
19,11,,1911,Sea,,,,,,
19,12,,1912,Sea,,,twocalf,A small glass dome contains a single ever productive acorn tree and a family of 6 sentient squirrels on the seafloor. They all have squirrel sized diving suits.  The eldest son longs to see the world and find a wife.,,
19,13,,1913,Coast/Sea,,,The_VolV,"In this lonely part of the island random gravity wells occur, making a character accidently throw his things to the ground when he least expects it.",,
19,14,,1914,Sea,,,agent blue,"The face of a gargantuan, metallic beast juts out of the water. Seemingly at random, it's mouth screeches with the sound of rusted metal as strange music plays from deep within its gullet. Some say untold treasures can be found within.",http://conceptartworld.com/wp-content/uploads/2013/06/Epic_Mickey_2_Concept_Art_SM17.jpg,Unknowable intentions
19,15,,1915,Sea,,,,Reef. One halfling and one kobold sits on either end. They involve travellers as judges of their sea shanties. Both offer bribes.,,
19,16,,1916,Sea,,,twocalf,"Large pleasure barge guarded by barnacle-encrusted clockwork construct demanding a ticket. Failure to comply results in more clockwork guards that will remove PCs by force. The ship is intact, filled with skeletons in fancy dress.",,
19,17,,1917,Sea,,,twocalf,"A golden magical trident lies embedded in a Dunkalasaurus skeleton. Pulling it out will resurrect the immortal creature in d4 days, who will then chase hunt the trident-holder until sealed again via impalement with the trident.",,
19,18,,1918,"Sandy Desert, Coast",,,,,,
19,19,,1919,"Sandy Desert, Coast",,,,"False signal fires lit by a band of ogres. Has no idea if ships pass or not but will wait patiently in hiding (only from seaside, visible from land).",,
19,20,,1920,"Sandy Desert, Coast",,,,,,
20,01,,2001,Sea,Iceberg Ship,,twocalf,"Enchanted iceberg ship has a crew of polar bear-folk whalers/merchants worried about a missing shore party. Their hold is full of pelts, meat, whale ivory, and small chunks of never-melt ice.",,
20,02,,2002,Sea,,,Ellardin,"Large rocks breach the surface of the water here, a danger to all ships.",,Dangers of ignorance
20,03,,2003,Sea,,,,,,
20,04,,2004,Sea,,,twocalf,"Shantytown made from dozens of ruined small boats. Full of grog and pirate stereotypes, but no women. Constantly under raid from Sharkmen, Lobster-people, Psi-Porpoises, etc.",,
20,05,,2005,Sea,,,,,,
20,06,,2006,Sea,,,Ellardin,A sandbar is spouting out from the Ocean's surface. It appears that a large orange and white speckled mushroom is bobbing in the water.,,
20,07,,2007,Sea,,,,Large jet of water sprays up once.,,
20,08,,2008,Sea,,,,,,
20,09,,2009,Sea,,,,"A titanic creature's shadow is sighted under the sea for a moment, then disappears.",,
20,10,,2010,Sea,,,,,,
20,11,,2011,Sea,,,,Four goblins in a powered boat tow a derelict barn on a raft.,,
20,12,,2012,Sea,,,,,,
20,13,,2013,Sea,,,twocalf,"Locked chest in flotsam. Contains seemingly endless stacks of bizarre non-human on humanoid pornography, valuable only to lonely sailors. Staring or sorting the pictures for too long risks madness. 1/6 chance a picture is of a PC's mother.",,
20,14,,2014,Sea,,,,,,
20,15,,2015,Sea,,,,Top of a small tube sticks over the surface. Smooth jazz can be heard faintly through it.,,
20,16,,2016,Sea,,,,Island of floating junk. Group of imps unsuccessfully trying to steer it.,,
20,17,,2017,Sea,The Salty Spitoon,,Pastaman,"An old offshore mining platform, now inoperable. Functions as a trading post and inn, called The Salty Spitoon, for coastal merchants. All people and goods passing through are subject to taxation from the forces of [[Masketta]] Man.",,Piracy and all sorts of shady dealings.
20,18,,2018,Sea,,,,,,
20,19,,2019,Sea,,,,Shipwrecked hobgoblin floating in a barrel.,,
20,20,,2020,Sea,,,NovanIV,"Below the surface of the water, there is a chest containing 6 bottles. d6 of them are intact and contain a magic potion that permanently corrects any eyesight problems the drinker possesses. The remaining bottles have broken.",,A pun on the hex number
,,,,,,,Map coverage:,60.00%,,