x ,y,,x y,More Info URL,Settlement,,Author,Description,,Themes,NPCs

00,12,,0012,Grassland,IRIDIUM VALKYRIE,,Jacob Hurst,"The wreck of The [[IRIDIUM VALKYRIE]]. Emergency beacon still running, and the frigate's hull is coated in growths of red crystal.",,,

00,13,,0013,Forested Mountains,,,Patrick Stuart,Self-upgraded cyborg factory girls with punk-hacked indenture-chips hurry to repair abandoned fleet of titanium-sleeve rocket cycles for violent anarchist-feedom-haj to Hex [[0902]],,,

01,03,,0103,Mountains,,,Piratanegro Libre,"Chromed alien gate on top of the mountain, who crosses it, will end in a hexagon with stars, being sucked into the emptiness of space.",,,

01,04,,0104,Forested Hills,,,Konstantin M,A vast clone-growing facility has been claimed by the forest. The operators have gone cargo-cult; offer sacrifices to the void-vultures; will trade for crystal. They pay tribute to the mind-sculptor from Hex [[0202]].,,,

01,05,,0105,Forest,,,Judd Karlman,Village of the clones descended from Hex [[0104]]. They see the former operators as holy prophets of the <<Mind-Sculptor<< from [[0202]].,,Mind-Sculptor,

01,08,,0108,Forest,,,David Brawley,"A great stone tower juts from the edge of the land, a great mass of lenses peering out into the darkness. NecroCybernetic and robotic caretakers don't take kindly to visitors.",,,

01,11,,0111,Grassland,,,Ramanan S,"A pack of giant tigers stalk these plains. They use their telepathic powers to track their prey, and can communicate with any creature regardless of the language they speak.",,,

01,12,,0112,Starfruit Forest,HALEWOOD,,Ed Hackett,"The trees of [[HALEWOOD]] are sentient and communicate by physically ""interfacing"" with other sentient creatures. This process is painful and potentially lethal to non-vegetation.",,,

01,13,,0113,Forested Mountains,,,Judd Karlman,"Biodegradable rocket graveyard, where dead rockets were buried causing the trees to dream of distant stars and any ore mined in the hills to give off radiation from alien stars.",,,

02,01,,0201,Mountains,,,Shaine Edwards,A tribe of <<Glamazons<< live in the shadow of the volcano in Hex [[0202]]. Each daughter of the tribe that carries an unbroken ostrich egg to the volcano may join the ranks of the <<War Witches<<.,,Glamazons; War Witches,

02,02,,0202,Volcano (Extinct),,,Patrick Stuart,The {{Mind-Scuptor}} dwells in a chromium lattice formed in the decaying core of an extinct volcano. His War Witch {{Onero-Cyber}} flocks hunt the Noosphere for tantilising minds for him to mold.,,Mind-Sculptor,Mind-Sculptor; Onero-Cyber

02,03,,0203,Mountains,,,Judd Karlman,"The coven of the <<Orthodox War Witches<<, who follow the hunting directions of none but the Crystal Demon-God, an ancient AI.",,Orthodox War Witches,

02,04,,0204,Forested Mountains,,,Ed Hackett,2d4 Mutant predators hunt here as a pack. 25% chance they already have a fresh kill.,,,

02,05,,0205,Forested Hills,,,Joey Lindsey,"Defective/deformed clones from Hex [[0104]] and Hex [[0105]] have an insular settlement in old mine shafts, stealing from surface travelers and raising huge fungus forests underground. When they come of age they ""ascend"", which means replacing their heads with ancient square ""image receptors"" scavenged from a buried spaceship.",,,

02,06,,0206,Forest,,,Shaine Edwards,"Void Vultures perch atop the head of a titanic war golem half buried near the edge. A wizard camps nearby, hoping to unlock the secret of the ancient Head.",,,

02,08,,0208,Forest,,,Konstantin M,"The anti-grav domes of a flooded lab are now home to the <<Moon-Children<<, who seek refuge from the warp-storm. Naive, scared, tendrilled and incredibly powerful psions. Like to grow horrors in the bio-lab and watch them play in nearby hexes.",,Moon-Children,

02,12,,0212,Grassland,A VILLAGE,,David Brawley,"[[A VILLAGE]] sits on the crumbling edge, it's people refuse to leave, believing their fate is tied to the land. The doom cult is fostered by a flame haired cyborg woman.",,,

02,13,,0213,Starfruit Forest,HALEWOOD,,Jacob Hurst,"[[HALEWOOD]] continues from Hex [[0112]]. The last regiment of General Raxxis Novasmasher have been biowelded to the trunks of 20,000 iridescent oak trees awaiting an awakening that may never come.",,,

03,01,,0301,Mountains,,,David Brawley,Degenerate cannibalistic cavemen reside in these labyrinthian passages and caves. They are led by and worship an AI residing in a glowing green crystal that follows an intricate pattern above the mountaintops.,,,

03,02,,0302,Mountains,,,Shaine Edwards,2D10 cyberwolves serve as the army of a {{Rogue Pleasure Droid}}.,,Rogue Pleasure Droid,Rogue Pleasure Droid

03,03,,0303,Forested Mountains,HOLIDAY VILLAS,,David Brawley,"[[HOLIDAY VILLAS]] of the rogue pleasure droid from Hex [[0302]] overlook the starry edge. Each is highly monitored by the droid, and contains both great luxuries and great internal security.",,Rogue Pleasure Droid,

03,04,,0304,Forested Mountains,SHRINE OF ELDARIA,,Jacob Hurst,"Glitter Harpies have nested in abandoned missile silos that dot the mountains throughout this hex. The ruins of the [[SHRINE OF ELDARIA]], sacred to the <<War Witches<<, are here as well.",,War Witches,

03,05,,0305,Forested Hills,,,Patrick Stuart,"Gangster savages count coup by running to stare into the TV screen heads of the mutants from Hex [[0205]] then escaping. Crime tribes nesting the the black encyclic ruined rooms make death fetishes of known foes from ivory and bone, their powers, unknown.",,,

03,06,,0306,Forested Hills,,,David Brawley,"A crystal bridge stretches out into the starry void, shattered about a half mile from the edge. Living in the tower just before the break is {{Ziggy Stardust}}, chaos mage.",,,Ziggy Stardust

03,07,,0307,Forested Hills,,,Jacob Hurst,"{{""Mr Kitty""}}, a lurid green tiger with yellow stripes and orange gem-like eyes, grown from one of the vats in Hex [[0208]] makes these hills his home. He hates his name, but no one has yet survived long enough to give him a new one.",,,Mr Kitty

03,08,,0308,Forest,GREAT LIBRARY,,Joey Lindsey,"A swarm of cultured, hyper-intelligent nanobots maintain a [[GREAT LIBRARY]] of ancient texts carved into the trees here. The nanobots attempt to set creatures at ease, assembling into their best approximation of any visitor's form.",,,

03,09,,0309,Forest,STARSHINE PENINSULA,,Jacob Hurst,"Here on the [[STARSHINE PENINSULA]], the ancient tree's mirrored leaves reflect the void. The silver skinned goblin wolf-riders who live here are said to steal dreams and weave them into cloth.",,,

03,12,,0312,Forest,STAR GROVE,,Judd Karlman,"The [[STAR GROVE]] grows in concordance with a distant star system, a living garden map.",,,

03,13,,0313,Forested Mountains,,,David Brawley,At the top of the mountain is a portal which will send anyone stepping through it to a random location on 1) this map 2) Hexenbracken or 3) krall and guarded by a starmetal golem.,,,

04,04,,0404,Forested Mountains,,,Jacob Hurst,Weirdness from the void seeps into tar pits in the mountain valleys animating the skeletons of saber-toothed terrors.,,,

04,05,,0405,Forested Mountains,CRUMBLING CITY,,Konstantin M,"Saber-toothed-skeleton bikers and laser-lancers in [[CRUMBLING CITY]], turned barbarian fortress, plagued by <<Periodic Mass Madness<<. Their {{So-Called King}}, half his face alien science, loves exiling people, will soon regret burning the war-witch shrine in Hex [[0304]] and otherwise pissing off most neighbors.",,Periodic Mass Madness,So-Called King

04,06,,0406,Forested Hills,,,Shaine Edwards,"A recent spacequake has uncovered dozens of crystalline sarcophagi, each containing <<Saurian<< remains. If disturbed, the coffins will combine to form a crystal colossus armed with a huge energy sword.",,Saurian,

04,07,,0407,Forested Hills,CASTLE OF THE ZODIAC KNIGHTS,,Shaine Edwards,An orgone accumulator can be found beneath the [[CASTLE OF THE ZODIAC KNIGHTS]]. The device is rumored to heal all sickness and grievous wounds.,,,

04,08,,0408,Forest,,,Chris Tamm,A archmage tower guarded by village of <<Guineapig Men<< barbarians in scale armour. One of their heroes flies in a sky sled while his two velocer raptor hybrid brothers follow.,,Guineapig Men,

05,04,,0504,Grassland,,,Shaine Edwards,{{The Night Pharaoh}} and his band of outlaw science priests plot the assassination of the Sorceress in Hex [[0902]],,,The Night Pharaoh

05,05,,0505,Grassland,,,Shaine Edwards,{{The Knight of Capricorn}} challenges all comers to joust. His helm has been infected by a chaotic nano-cloud recently broken off from the swarm in Hex [[0308]].,,,The Knight of Capricorn

05,06,,0506,Grassland,,,Jacob Hurst,"Herds of six legged ibex graze the plains here, watched over by giant tripods that attempt to carry out the last wishes of {{Temnok the Wise}} before he became The Night Pharaoh of Hex [[0504]].",,,Temnok the Wise

05,07,,0507,Forest,,,Jacob Hurst,"The trees here are silent and full of iridescent spiderwebs. The ""spiders"" have legs of human fingers, bodies of human hands, and a large robotic eye.",,,

05,08,,0508,Dead Forest,,,Judd Karlman,The trees here were once batteries but someone used up the energy and neglected to set up the recharging. So the forest waits...,,,

05,11,,0511,Devastation,TEMPLE COMPLEX,,Jacob Hurst,Shattered megalithic arches of black jade float at the edge of the void. <<Priests of Set<< have recently built a [[TEMPLE COMPLEX]] around a pool of mithril beneath the grandest of the arches.,,Priests of Set,

06,01,,0601,Mountains,,,Judd Karlman,"An enterprising group off misfits and pariahs from all over this world are attempting to turn one of the mountains into a ship, disconnect from land and float into the void.",,,

06,03,,0603,Devastation,CANIS-3,,Konstantin M,"The devastation begins here, where sorceries clashed. The city of [[CANIS-3]] after the Theta Bomb: a giant twisting gun-metal growth, home to Ant- and Dog-men, digging for relics in the white desert sand. Thirst, Slavery, and Unexploded Ordnance Hazard.",,,

06,04,,0604,Devastation,,,David Brawley,"The devastation takes the form of hexagonal fracturing of the earth. Each hex is a different height, some tower above all, some plunge deep. Crystal centipedes live among the hexes.",,,

06,05,,0605,Devastation,,,Joey Lindsey,"Here, it is a devastation of thought; no new ideas can happen; the only thoughts here are thoughts carried in. Those present live in grey desperation, welcoming travelers; if they could hope, they'd hope someone suggests they leave.",,,

06,06,,0606,Grassland,,,Shaine Edwards,A massive {{golden sphinx}} watches over the edge of the [[DEVESTATION]]. It's communication relay allows the Mind-Sculptor from Hex [[0202]] to monitor the area.,,Mind-Sculptor,Golden Sphinx

06,07,,0607,Dead Forest,ONCELAND,,Nigel O'Rear,Small settlements of greyscale holograms dot the gentle hills of the [[ONCELAND]]. These quiet folk drain what little color that can be found here to empower their heroes; towering titans of hard light that summon rainbows to their aid.,,,

06,08,,0608,Dead Forest,,,David Brawley,"The woods appear dead, but they hunger for life. Any life. Yours will do nicely.",,,

06,09,,0609,Starfruit Forest,,,Judd Karlman,"The dead trees have begun to bloom and yet they are still dead. An aggressive algae from another world has granted them a sort of undead existence, living off starlight and whatever animals get too close.",,,

06,10,,0610,Dead Forest,,,Jacob Hurst,A meteor has crashed into the dead forest throwing both the land and trees into upheaval. A chunk of glowing metal has been reported in the crater and rocks in the area have begun to grow teeth and tentacles.,,,

06,11,,0611,Devastation,,,Shaine Edwards,A herd of <<psychic centaurs<< dwell amongst the rocky landscape. The neon tattoos on their flanks mark them as enemies of the Priests of Set in Hex [[0511]].,,Psychic Centaurs,

07,01,,0701,Grassland,,,Jacob Hurst,Miles of gently rolling plains covered in crystalline star poppies are dotted with the interstellar ships of the pirates who harvest them.,,,

07,03,,0703,Devastation,PORT CITY,,Scott Kuban,"A [[PORT CITY]] in the devastation. Once populated by transhumanist cyborgs, terrible events caused the deaths of all organics. Now, only the robotic husks continue, shambling along automated routines.",,,

07,04,,0704,Devastation,,,Jacob Hurst,Hundred foot tall trash heaps of the devastation. Golden shelled stag beetles and copper shelled Heracles beetles the size of dinner plates are found here in abundance.,,,

07,05,,0705,Grassland,,,Jacob Hurst,"A vast grassy plain stretches to the glowing trash heaps on the horizon to the north. Ancient metallic wrecks reach out from the ground to the sky, and small blue creatures with many limbs search for working parts to help them one day reach across the empty void to the north.",,,

07,06,,0706,Grassland,,,Nigel O'Rear,"This pastoral plain of pink grass is home to the <<Glamazons<<, women-warriors who's collective fashion sense is as sharp as their spears. They raid the surrounding territories for mates, keeping the choicest men as servile pets who toil in mineral mines for gemstones which are ground up and used in their mistresses' elaborate facepaint.",,Glamazons,

07,06,,0706,Grassland,,,David Brawley,"The starflower fields that stretch across this plain capture and redirect light, causing anyone who disturbs them to become the focus of their lazer-like affection. Giant purple crickets tend these 4' tall plants.",,,

07,07,,0707,Dead Forest,,,Scott Kuban,"Is home of the <<Pale Tribes<<. A nocturnal people, they emerge from subterranean dwelling after smearing their faces with a white, stimulant-laced woad. This mystical substance gives them the power to wage their nightly battles over whose tribe composes the most sorrowful dirges.",,Pale Tribes,

07,08,,0708,Dead Forest,CITADEL OF TONGUES,,Nigel O'Rear,"The [[CITADEL OF TONGUES]] stands within the blackend forests. Here, acolytes train day and night in the sacred rhyming martial art known only as The Word.",,Citadel of Tongues,

07,09,,0709,Dead Forest,CATHEDRAL OF OHM,,David Brawley,"The spire of the great [[CATHEDRAL OF OHM]] is wreathed in lightning, while its long halls sit mostly empty of all, including dust. Rumor has it that a great complex below the cathedral houses the treasures of the Arch-Tesla.",,,

07,10,,0710,Grassland,ELECTRICIA,,Jacob Hurst,"The village of [[ELECTRICIA]] sits by a picturesque stream in a pastoral landscape. The inhabitants of the village tend their robo-sheep, apparently unaware of the destruction around them.",,,

07,11,,0711,Devastation,CRYSTALIAN MOSAIC,,Scott Kuban,"The [[CRYSTALIAN MOSAIC]] dominates here. Overseen by a titanic psi-angelic creature comprised of wings and tendrils, slave-artisans toil eternally to fulfill the being's ever shifting vision of sublime beauty. A single crack in one of the city-block sized crystal tiles invites cataclysmic reprisal from the beast above, wiping out miles of intricate work.",,,

08,01,,0801,Grassland,RAZOR PLANES,,Dave Sutton,"[[RAZOR PLANES]] As you travel east, the rolling hills turn to sharp cliffs, and the beautiful poppies into crystal-toothed snappers. A wrong turn here will drop you into a pit of gigantic carnivorous snapping-poppies, whose poisonous bite lulls your mind into a euphoric and self-destructive state.",,,

08,04,,0804,Grassland,,,Jacob Hurst,A small tribe of goblins enslaved by war witches mine the midnight clay pits.,,War Witches,

08,05,,0805,Grassland,,,Jacob Hurst,"The plains are dotted with small moonstone pillars covered in geometric runes. Starjackals, sacred to Set, roam the fields here.",,Priests of Set,

08,06,,0806,Grassland,,,Chris Tamm,"Rainbow colored alien grass, covered in weird saliva, attracts giant space moths and caterpillars. A sect of deadbeat apprentice wizard dropouts gather here to try and hitch a ride man.",,,

08,07,,0807,Dead Forest,GRAND CATHEDRAL,,Konstantin M,"Carnivorous unlife lies in wait just below the ashen ground, but high above: floating discs, dead sky-whales, and lots of tethering chain, support a pastoral ""utopia"". {{Tyranny-of-Form}} lies murdered in her [[GRAND CATHEDRAL]], slowly reviving, while the {{Murder Cube}} seeks the escapees from Hex [[0013]].",,,Tyranny-of-Form; Murder Cube

08,08,,0808,Grassland,MONASTERY,,Nigel O'Rear,"""How does one kill a Video Demon? Simple, apprentice - rewind his prison-cassette until he ceases to be...though our [[MONASTERY]] has only one Sacred Implement, and more tapes come every day.""",,,

08,09,,0809,Dead Forest,,,David Brawley,"In the mines that go on for miles, a fire has burned for hundreds of years. The cinder trees live on, somehow, and salamanders nest in the branches.",,,

08,10,,0810,Grassland,SACRED DRUG GROVE,,Chris Tamm,Cyborg tyrannosaur guards the [[SACRED DRUG GROVE]] of the <<mecha shaman<<. Outsiders are unwelcome to the contemplative philosophers.,,Mecha Shaman,

08,12,,0812,Devastation,CRYSTALIAN MOSAIC,,David Brawley,The smashed ruins of the [[CRYSTALIAN MOSAIC]] (Hex [[0711]]) span this side of the landbridge. Tiny orange people in silver slave away to rebuild the once glorious work.,,,

09,01,,0901,Starfruit Forest,FRUITLESS ORCHARD,,Nigel O'Rear,Neon Cyber-Unicorns frolic and duel in the [[FRUITLESS ORCHARD]]. Their segmented steel-flesh is a delicacy to the people of the crystalline city located in Hex [[0902]].,,,

09,02,,0902,Starfruit Forest,CRYSTAL METROPOLIS,,Scott Kuban,"The [[CRYSTAL METROPOLIS]] towers over all, visible from every point in the land. It's citizens feast upon the bounty of the harvest of the world. {{Sad Ivory}}, the Sorceress Queen, spends her days atop the grand spire, reweaving the pattern of the stars in a mad attempt to woo the Sun to become her lover.",,,Sad Ivory

09,04,,0904,Grassland,,,Jacob Hurst,A giant iridium hand and arm rises 500' into the air. Glitter harpies nest among its 15 fingers.,,,

09,05,,0905,Grassland,PLAINS OF THE PURPLE BUFFALO,,David Brawley,"[[PLAINS OF THE PURPLE BUFFALO]], and home of the bowcaster armed <<Iconian Riders<<.",,Iconian Riders,

09,06,,0906,Grassland,,,Jacob Hurst,Oil pools and steel jawed crocodiles.,,,

09,07,,0907,Grassland,GATETOWN,,Nigel O'Rear,"[[GATETOWN]] is a bustling city where beings from across the land may congregate under the watchful eye of the {{Beggar King}}. The only barrier to entry is that you must have something to trade, be it skill at arms or riches fine.",,,Beggar King

09,08,,0908,Grassland,,,Jacob Hurst,"All plant, animal, and monstrous life appears to be made from yards of black magnetic tape. The only exception is the sphinx who lives on a glass boulder at the eastern edge.",,,

09,09,,0909,Grassland,GREAT GOLDEN CITY,,kenrick encinas,"At all times a [[GREAT GOLDEN CITY]] both exists and does not exist in the center of this land. When it is present the sky is purple, the grass is red, the wine makes you hunger, the food makes you thirst. When gone, the sky is green, the grass is blue, the wine poison, the food reasonably priced.",,,

09,10,,0910,Hills,DWEOMERDALE,,Shaine Edwards,"[[DWEOMERDALE]], a village of sentient illusions has migrated West from the [[PRISMATIC MOUNTAINS]] beginning in Hex [[1110]].",,,

09,11,,0911,Devastation,,,Jacob Hurst,"The rubble here is mined for iridium by the same tiny orange slaves dresed in silver found in Hex [[0812]]. They do not appear to have masters, but are afraid to go out at night.",,,

09,12,,0912,Devastation,,,David Brawley,"The devastation causes frequent earthquakes here, knocking chunks along the edge to fall into into the void. Velocer raptors nest among the peaks.",,,

09,13,,0913,Devastation,MINISTRY OF INFORMATION,,Jacob Hurst,The remains of the [[MINISTRY OF INFORMATION]] are said to be in this area of the devastation. The rumored crystal data spheres attracting a steady stream of pirates.,,Pirates of the Void,

10,01,,1001,Devastation,,,Chris Tamm,On mountaintop lies a great pulsing cube of flesh riddled with tunnels. Creatures and cults dwell inside the mucous filled corridors for life.,,,

10,02,,1002,Starfruit Forest,,,David Brawley,"The trees of this area bleed when cut, and their fruit are beating hearts. Local tradition holds that if the last fruit is taken from the tree it will hunt down all who have eaten from it.",,,

10,05,,1005,Grassland,,,Nathaniel Hull,"A sloping plain angling steeply towards the void, inhabited by meter-tall, spherical fur balls that try vainly to roll up hill far enough each night so as to not fall into the void as they sleep. They are a delicacy in the city of [[0902]] (The [[CRYSTAL METROPOLIS]]) and [[0907]] ([[GATETOWN]]).",,,

10,06,,1006,Grassland,,,Pearce Shea,"Men and Women in traditional dress engage in bacchanalian excess around an enormous, sentient head who denounces their actions as barbaric and unclean. Beneath their garb they are outrageously attractive in a he-man, she-ra kind of way (all wear unitards into which they barely fit, and the men have impossibly full hair, the women are just straight up feathered and 80s-curled). Both sides will try to conscript the PCs into helping them (taint the wine with a purgative or else engage in lasciviousness in front of the head).<br /><br />If aided, the head will let up to three people climb into its mouth. Wait there for two minutes and when he reopens his mouth you can be anywhere else in the map. He'll only do this once.<br /><br /><a href=""http://www.charlesfreger.com/works/big.php?no=[[1632]]"" class=""ot-anchor"" rel=""nofollow"">http://www.charlesfreger.com/works/big.php?no=[[1632]]</a>",,,

10,07,,1007,Starfruit Mountains,STEEL CATHEDRAL,,Jacob Hurst,The [[STEEL CATHEDRAL]] stands among blood-flower orchards. The <<Cobalt Knights<< who live here consider themselves to be one of the last beacons of light left in Synthexia.,,Cobalt Knights,

10,08,,1008,Grassland,,,David Brawley,"Ranchers living aboard their giant land crabs, ride them across the great grasslands. They're currently on their way toward [[GATETOWN]] to trade. It'll be a season before they arrive.",,,

10,09,,1009,Grassland,,,Jacob Hurst,The grass in this area grows as feathers instead of blades. Giant Chrome Scorpions.,,,

10,10,,1010,Hills,,,Chris Tamm,Mounds of ancient scrap robot heaps pile here and demented self built droids search scrap for upgrades. Rust monsters have been swarming of late and the poor robots are desperate.,,,

10,11,,1011,Hills,,,Chris Tamm,A {{necromancer}} and a {{scientist}} are teaming up to build a undead cyber beholder using scraps from Hex [[1010]]. They live in a cave served by zombies and lame scrap built robots.,,,necromancer; scientist

10,12,,1012,Devastation,,,David Brawley,The devastation has caused this area to be under perpetual cloud cover resulting in a hot and humid land covered in black molds. A great circular pit miles deep has a carved stair leading down into it's depths. Rumor has it that a shadow dragon sleeps at the bottom.,,,

10,13,,1013,Devastation,CRYO-STATIONS,,Jacob Hurst,"The entrance to [[CRYO-STATIONS]] X4, Zenon3 and I-r12 can be found here within the devastation. An infestation of robo-cockatrice has resulted in most of the sleepers being turned to steel.",,,

11,01,,1101,Devastation,,,David Brawley,The devastation creeps closer to The [[CRYSTAL METROPOLIS]] in the form of Rad-Roaches that eat all in their wake.,,,

11,02,,1102,Devastation,,,Jacob Hurst,"A tribe of centaurs, defenders of The [[CRYSTAL METROPOLIS]] in Hex [[0902]], are slowly being warped by the devastation. Some have begun building altars to dark things from beyond the void.",,,

11,03,,1103,Devastation,HIDDEN TORTUGA,,David Brawley,"<<Pirates of the Void<< have created a [[HIDDEN TORTUGA]] in the devastation hollowed lands here. Anything in the multiverse can be had, for the right price.",,Pirates of the Void,

11,06,,1106,Starfruit Mountains,BEACON TOWER,,Judd Karlman,"The [[BEACON TOWER]] is kept lit here by a {{librarian}} and a {{summoner}} who settled down here to have children and chart the stars. Their Void Hounds patrol the hills, answering their call.",,,librarian; summoner

11,07,,1107,Starfruit Mountains,COBALT RESEARCH FACILITY,,Jacob Hurst,"Cobalt Knights from the [[STEEL CATHEDRAL]] in Hex [[1007]] are attempting to breed their Diamond Dogs with the Void Hounds of the librarian in [[1106]]. Fearing explosions, the [[COBALT RESEARCH FACILITY]] is isolated in the mountains here.",,Cobalt Knights,

11,08,,1108,Grassland,THE GREAT WEB,,David Brawley,The Eastern Pharaoh {{Solartep}} and his cyber-zombies rules this area with a skeletal fist. The City of [[THE GREAT WEB]] surges with the power of it's living batteries.,,,Solartep

11,09,,1109,Hills,SUN FORGE,,Jacob Hurst,"The [[SUN FORGE]] in the foothills of the [[PRISMATIC MOUNTAINS]], is an ancient structure purported to have once forged amazing weapons of light using Synthexia's sun. Currently controlled by the demi-lich {{Argus Claxfire}} and his gang of Skeletoids.",,,Argus Claxfire

11,10,,1110,Prismatic Mountains,REMOTE PALACE,,Joey Lindsey,"Proud warrior {{Aurach Mintas}} sits in his [[REMOTE PALACE]] on an improbable peak watching the images of his past battles as lasers flicker through the gem-backed memory crabs. He stirs rarely, and challengers are few these days; in his idleness an incorporeal demon has taken root in the palace, always whispering.",,,Aurach Mintas

11,11,,1111,Prismatic Mountains,MAGMA WARRENS,,David Brawley,The Western edge of the [[PRISMATIC MOUNTAINS]] contains a massive gateway leading down into the depths of the [[MAGMA WARRENS]] that all eventually converge on Hex [[1311]]. Demonic things emerge regularly and harass anything in the area before they cool off and fall to ash.,,,

11,12,,1112,Devastation,SWER-AL,,Judd Karlman,"An odd adventurer's boomtown [[SWER-AL]] has sprung up here. Treasure seekers often venture into the lair of the robo-cockatrices and the shadow dragon's pit (see Hex [[1012]] and Hex [[1013]]). They say the town elders keep a robo-cockatrice in a dry well and use it to render steely justice to lawbreakers, lining the square with the unjust.",,,

